block_cca,dimension,mse_x,mse_y,mse_mean,rmse_mean,r2_mean,corr_x,corr_y,run
lambda=1,16,13461.0380859375,14953.5205078125,14207.279296875,119.19525146484375,0.7541458010673523,0.8901649904318255,0.8463858314710311,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260705_164826_d16_h64_dep1_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1
lambda=1,32,10412.0810546875,10776.666015625,10594.37353515625,102.92971801757812,0.8173350095748901,0.9162095254925773,0.8918712269831778,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260705_180855_d32_h64_dep1_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1
lambda=1,64,8937.1611328125,9442.0947265625,9189.6279296875,95.86310577392578,0.8413866758346558,0.9285723234705386,0.905933931183372,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260705_181142_d64_h64_dep1_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1
lambda=1,128,8072.18701171875,9031.47265625,8551.829833984375,92.47661590576172,0.8519577980041504,0.9357857350139749,0.9102321423987575,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260705_183042_d128_h64_dep1_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1
lambda=1,256,7970.60546875,8686.7919921875,8328.69873046875,91.26234436035156,0.8560153245925903,0.9367252659186872,0.9139251971777641,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260705_183549_d256_h64_dep1_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1
lambda=1,512,7679.4150390625,8419.4990234375,8049.45703125,89.71932983398438,0.8607999682426453,0.9392182422080128,0.9166844645970839,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260705_184239_d512_h64_dep1_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1
lambda=1,1024,17724.603515625,39248.3515625,28486.4775390625,168.7828369140625,0.49049112200737,0.8526024335391104,0.5109402412860289,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260705_184738_d1024_h64_dep1_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1
lambda=0,16,61072.5546875,51884.2265625,56478.390625,237.66073608398438,0.03616201877593994,0.24234070106239233,0.12074273334422843,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260705_185537_d16_h64_dep1_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca0.0_sig10.0_s1
lambda=0,32,60704.671875,51865.23828125,56284.955078125,237.2520751953125,0.03917956352233887,0.2536495377322723,0.12254604406535245,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260705_185627_d32_h64_dep1_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca0.0_sig10.0_s1
lambda=0,64,61037.1796875,51934.3828125,56485.78125,237.6748809814453,0.03595846891403198,0.24319218453576733,0.11684659151576171,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260705_185722_d64_h64_dep1_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca0.0_sig10.0_s1
lambda=0,128,61169.87109375,51846.453125,56508.162109375,237.72268676757812,0.03577035665512085,0.23798314841910928,0.12329964533554089,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260705_185825_d128_h64_dep1_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca0.0_sig10.0_s1
lambda=0,256,20293.12890625,44224.46484375,32258.796875,179.60995483398438,0.4234149754047394,0.830039280717258,0.400955658308067,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260705_185947_d256_h64_dep1_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca0.0_sig10.0_s1
lambda=0,512,20125.556640625,44301.36328125,32213.4599609375,179.48324584960938,0.4239768385887146,0.8316777147705217,0.40239300916521153,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260705_190145_d512_h64_dep1_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca0.0_sig10.0_s1
lambda=0,1024,19895.314453125,44510.10546875,32202.7099609375,179.45358276367188,0.42376968264579773,0.8335715729324575,0.39898741831506157,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260705_190457_d1024_h64_dep1_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca0.0_sig10.0_s1
