rank,attempt,best_val_zeta,best_val_s,best_val_c_plus,final_val_zeta,temporal_filters,kernels,conv_layers,depth,lr,best_val_epoch,elapsed_s,run_dir
1,10,0.319474034011364,0.29634470120072365,0.9218725934624672,0.3184700161218643,16,"3,7,15,31,63",2,2,0.001,25,65.54131770133972,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/10_tf16_k3-7-15-31-63_cl2_dep2_lr0.001
2,6,0.31885943561792374,0.4517396092414856,1.40984408557415,0.3180556371808052,16,"7,15,31,61",2,2,0.001,25,63.11006259918213,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/06_tf16_k7-15-31-61_cl2_dep2_lr0.001
3,14,0.3168855383992195,0.39936700463294983,1.2521175742149353,0.3168855383992195,16,"5,11,23,47,95",2,2,0.001,30,93.95121002197266,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/14_tf16_k5-11-23-47-95_cl2_dep2_lr0.001
4,9,0.316366970539093,0.3190191313624382,1.0048540979623795,0.31636691838502884,16,"15,31,63,127",2,2,0.001,29,105.66736674308777,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/09_tf16_k15-31-63-127_cl2_dep2_lr0.001
5,4,0.31569717079401016,0.2799721322953701,0.8805649131536484,0.3141656816005707,8,"7,15,31,61",2,2,0.001,25,45.00033187866211,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/04_tf8_k7-15-31-61_cl2_dep2_lr0.001
6,11,0.3153053820133209,0.23131495714187622,0.7278775125741959,0.31470581144094467,8,"3,7,15,31,63",2,2,0.001,24,54.79485893249512,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/11_tf8_k3-7-15-31-63_cl2_dep2_lr0.001
7,3,0.30469776690006256,0.18354887142777443,0.5934292748570442,0.3032049387693405,4,"7,15,31,61",2,2,0.001,27,36.15847897529602,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/03_tf4_k7-15-31-61_cl2_dep2_lr0.001
8,13,0.28792453557252884,0.1244744174182415,0.42072613909840584,0.28792453557252884,16,"3,7,15,31,63",2,2,0.0003,30,64.08923029899597,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/13_tf16_k3-7-15-31-63_cl2_dep2_lr0.0003
9,8,0.2796888127923012,0.09768018592149019,0.3362370431423187,0.2796888127923012,16,"7,15,31,61",2,2,0.0003,30,65.88764834403992,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/08_tf16_k7-15-31-61_cl2_dep2_lr0.0003
10,16,0.27873094752430916,0.20862580090761185,0.7451024800539017,0.27871719375252724,16,"3,7,15,31,63",2,1,0.001,29,61.34217166900635,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/16_tf16_k3-7-15-31-63_cl2_dep1_lr0.001
11,20,0.2736426070332527,0.02371421502903104,0.08541684970259666,0.2736426070332527,8,"15,31,61",1,2,0.001,30,41.8989143371582,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/20_tf8_k15-31-61_cl1_dep2_lr0.001
12,18,0.26832617074251175,0.028684253338724375,0.10590619966387749,0.2683189585804939,8,"3,7,15,31,63",1,2,0.001,29,39.83565855026245,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/18_tf8_k3-7-15-31-63_cl1_dep2_lr0.001
13,15,0.2669675312936306,0.030103379860520363,0.11117710918188095,0.2638261877000332,16,"3,7,15,31,63",1,2,0.001,22,43.727885246276855,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/15_tf16_k3-7-15-31-63_cl1_dep2_lr0.001
14,2,0.2665882781147957,0.024556993506848812,0.09086367674171925,0.2665124796330929,8,"7,15,31,61",1,2,0.001,26,396.0924143791199,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/02_tf8_k7-15-31-61_cl1_dep2_lr0.001
15,5,0.262808658182621,0.022774317301809788,0.08524067886173725,0.2600858770310879,8,"15,31,63,127",1,2,0.001,21,39.42904090881348,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/05_tf8_k15-31-63-127_cl1_dep2_lr0.001
16,17,0.25864557921886444,0.02731640264391899,0.10387231782078743,0.25833621248602867,16,"7,15,31,61",1,2,0.001,23,49.30771851539612,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/17_tf16_k7-15-31-61_cl1_dep2_lr0.001
17,1,0.2533305585384369,0.018271528650075197,0.07004672661423683,0.2533305585384369,4,"7,15,31,61",1,2,0.001,30,516.1220393180847,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/01_tf4_k7-15-31-61_cl1_dep2_lr0.001
18,19,0.24944142997264862,0.01959902560338378,0.0758579932153225,0.24944142997264862,8,"7,15,31",1,2,0.001,30,32.552405834198,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/19_tf8_k7-15-31_cl1_dep2_lr0.001
19,7,0.17561492696404457,0.013586233602836728,0.07033619284629822,0.17561492696404457,16,"7,15,31,61",2,2,0.0001,30,64.99642491340637,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/07_tf16_k7-15-31-61_cl2_dep2_lr0.0001
20,12,0.1686670146882534,0.013592151692137122,0.07312766183167696,0.1686670146882534,16,"3,7,15,31,63",2,2,0.0001,30,68.36666226387024,/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/12_tf16_k3-7-15-31-63_cl2_dep2_lr0.0001
