epoch,train_loss,val_loss
1,-3415496.6242699255,-18134210.2
2,-71369356.3076923,-161778680.0
3,-279868802.46153843,-441989395.2
4,-639028928.0,-901765132.8
5,-1209494912.0,-1583649203.2
6,-1975713289.8461537,-2418723686.4
7,-2824724007.3846154,-3200343910.4
8,-3534099101.5384617,-3752657254.4
9,-3968227564.3076925,-4023637248.0
10,-4159546525.5384617,-4093250508.8
11,-5792637656.615385,-7916426240.0
12,-11459940036.923077,-16026388684.8
13,-23695455783.384617,-33321206579.2
14,-48734707712.0,-67097443532.8
15,-95901736329.84616,-125792834355.2
16,-175403539849.84616,-219473127014.4
17,-298165941799.38464,-357267072614.4
18,-472512117523.6923,-538528730316.8
19,-702845827859.6923,-767207984332.8
20,-980584159389.5385,-1031252069580.8
21,-1293514460868.923,-1311091864371.2
22,-1618759949705.8462,-1587336419737.6
23,-1941032241624.6155,-1837210376601.6
24,-2227369561796.923,-2055291194572.8
25,-2461955300745.846,-2222164724940.8
26,-2645004305644.3076,-2332044479692.8
27,-2772690211761.231,-2423272452915.2
28,-2854188704374.154,-2469339122892.8
29,-2897433410323.6924,-2483368099840.0
30,-2915324556839.385,-2488949591244.8
31,-3311845305422.769,-3333571529932.8
32,-4455001509572.923,-4461916900556.8
33,-6189400195072.0,-6309195703910.4
34,-8843722651175.385,-8965770444800.0
35,-12823078008359.385,-12571549211033.6
36,-18712725411997.54,-18532481263206.4
37,-27473339381287.383,-27297922521497.6
38,-39925706089078.16,-38868189026713.6
39,-56853421621248.0,-54655920898048.0
40,-79469664695847.39,-74752227226419.2
41,-108888694597474.47,-100441546502963.2
42,-144888994322589.53,-131306094172569.6
43,-189024121489880.62,-167018277476761.6
44,-241767656899820.3,-204240710533120.0
45,-301947871398360.6,-259098210520268.8
46,-371007457147667.7,-311162830848000.0
47,-447720340364681.9,-367415715377971.2
48,-529630647650776.6,-434568669901619.2
49,-619160180459992.6,-497769455917465.6
50,-713777440156750.8,-567917244160409.6
